"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2047/2048",2048,120,120,100,1481.84353992337,1121.5,909.816635821458,1347.5,1022.5,1354,1022.5,69.835251126251
"2048/2049",2049,121,121,100,1379.29600444209,1016.5,825.591952812552,1283,908.5,1283,908.5,69.3574218100421
"2049/2050",2050,120,120,100,1176.79241754155,764.5,593.801036004268,1065.5,672.5,1072,672.5,64.9336851275584
"2050/2051",2051,120,120,100,1328.94506294106,1035.5,910.00457791557,1217,976.5,1069,976.5,66.8497411230837
"2051/2052",2052,120,120,100,1691.35320607014,1406,1191.24895785828,1588,1299.5,1481,1294.5,76.0651783438461
"2052/2053",2053,121,121,100,1648.65294778335,1340,1137.58322548912,1525,1260.5,1424,1257.5,72.1980823835147
"2053/2054",2054,120,120,100,1695.92007683381,1364,1182.66300643566,1582.5,1296,1469,1294.5,75.4691248076924
"2054/2055",2055,120,120,100,1539.82530693986,1196.5,1011.75374051095,1428,1111.5,1376,1111.5,70.6191910333182
"2055/2056",2056,120,120,100,1323.05527860086,958,772.70249101334,1182,893.5,1158,845,64.4737992458186
"2056/2057",2057,121,121,100,1422.56056851958,1114,914.142531080659,1322,1005.5,1319,1005.5,63.0108331815527
"2057/2058",2058,120,120,100,1701.68786579146,1333,1118.98989104274,1585,1229.5,1530,1229.5,74.8039058243103
"2058/2059",2059,120,120,100,1302.5697881197,947.5,786.131381932835,1208,864,1178,864,64.0202120971499
"2059/2060",2060,120,120,100,1601.85973802712,1346.5,1158.17776889668,1480.5,1250.5,1382,1246,72.7991335855513
"2060/2061",2061,121,121,100,1657.0167395609,1371,1182.6174484025,1562,1286.5,1406,1281,77.2974876364715
"2061/2062",2062,120,120,100,1145.98409907546,780.5,627.446273377507,1056.5,697.5,1034,697.5,60.1611493652799
"2062/2063",2063,120,120,100,1359.50332060782,968.5,778.446536571581,1254.5,857,1246,850,67.2770216523149
"2063/2064",2064,120,120,100,1352.13597109693,1051.5,908.275074164136,1232,997,1162,997,69.8713653604773
"2064/2065",2065,121,121,100,1653.72043652803,1243.5,1034.92818663106,1540.5,1151,1513,1151,74.1248420209631
"2065/2066",2066,120,120,100,1839.88414071969,1447,1152.04626254983,1729,1308.5,1719,1308.5,77.1923540415792
"2066/2067",2067,120,120,100,1261.70975331479,898.5,720.808131457845,1168,800.5,1172,800.5,63.9658526922976
"2067/2068",2068,120,120,100,1871.26971445238,1610,1418.76701430726,1751,1558.5,1600,1558.5,78.4174901571678
"2068/2069",2069,121,121,100,1514.54297251679,1162,997.942041996081,1397,1089.5,1323,1089.5,72.0648940485498
"2069/2070",2070,120,120,100,1649.29100361111,1343.5,1132.66907741653,1553.5,1271.5,1490,1271.5,71.1418871769565
"2070/2071",2071,120,120,100,1423.0313637362,1111,990.228098241088,1295,1076,1140,1073.5,70.6231517864071
"2071/2072",2072,120,120,100,1388.65340045976,1095.5,913.326675454548,1283,997,1237,997,64.6760774033191
"2072/2073",2073,121,121,100,1895.34582364917,1657,1410.16913705703,1794.5,1563.5,1660,1558,79.8173973519843
"2073/2074",2074,120,120,100,1285.77723457792,1012,835.733699556105,1195,944,1093,924.5,62.9892994862366
"2074/2075",2075,120,120,100,1592.40860133906,1354.5,1188.08652007105,1468,1307.5,1322,1298,73.3599622733473
"2075/2076",2076,120,120,100,1905.07316145496,1585,1338.93939612781,1781,1482.5,1720,1481,81.3882146290616
"2076/2077",2077,121,121,100,1317.74788399821,936,737.377649799106,1217,822.5,1183,822.5,68.3193289201317
"2077/2078",2078,120,120,100,1316.69568731688,944.5,758.627105707652,1204,861.5,1206,861.5,63.2928461175197
"2078/2079",2079,120,120,100,1618.08429597039,1226,988.646943864704,1492,1119.5,1491,1116.5,69.4763844340123
"2079/2080",2080,120,120,100,1745.33782862668,1386.5,1168.69392652425,1623,1302.5,1572,1302.5,74.193412560966
"2080/2081",2081,121,121,100,1513.67126888438,1290,1100.80172705809,1420,1238,1309,1238,67.4459448654998
"2081/2082",2082,120,120,100,1596.93079102022,1230,1023.48508455094,1468.5,1129,1425,1124,72.0448599739011
"2082/2083",2083,120,120,100,1656.58679651341,1396,1146.07468867596,1563,1305,1479,1297,72.6491936054099
"2083/2084",2084,120,120,100,1504.71561612579,1125,938.314524266651,1387.5,1041.5,1350,1041.5,73.2358383017945
"2084/2085",2085,121,121,100,1512.50359284296,1193,929.204829220282,1407.5,1067,1413,1059.5,65.064552556516
"2085/2086",2086,120,120,100,1459.22473592055,1144.5,995.028543263965,1352.5,1080,1268,1080,68.3068107835061
"2086/2087",2087,120,120,100,1390.1908908835,1022.5,853.140327915113,1279,937.5,1251,936,68.8447117969154
"2087/2088",2088,120,120,100,1400.27524901018,1093,914.785028669721,1293,1021.5,1239,1020,66.0837591286163
"2088/2089",2089,121,121,100,1558.83871799783,1234.5,1008.7591563289,1454,1139.5,1436,1139.5,70.2092307242438
"2089/2090",2090,120,120,100,1382.02682069613,971,764.347429620699,1274.5,876.5,1231,876.5,68.7435491622055
"2090/2091",2091,120,120,100,1299.5158181428,1048.5,897.26358464919,1188.5,986.5,1113,986.5,64.3870688081333
"2091/2092",2092,120,120,100,1356.94597757584,978,767.114650629213,1256,870.5,1259,870.5,67.5459881683528
"2092/2093",2093,121,121,100,1627.55959101889,1330.5,1159.61205801897,1509,1275,1418,1272,74.290120468253
"2093/2094",2094,120,120,100,1315.21086899954,1114,1013.55121901415,1220,1076.5,1090,1076.5,63.7197342573309
"2094/2095",2095,120,120,100,1595.20874103153,1212.5,957.56596198288,1482.5,1099.5,1481,1099.5,73.7105739535509
"2095/2096",2096,120,120,100,1657.56837107328,1317.5,1125.83766378948,1551,1230,1417,1224,75.2927407704428
"2096/2097",2097,121,121,100,1300.96201544732,1045.5,888.330567175362,1170,1004,1035,965,67.6997305810946
"2097/2098",2098,120,120,100,1373.59080315928,1107.5,936.637686363916,1270.5,1033.5,1204,1030,64.7817562033088
"2098/2099",2099,120,120,100,1632.09038770926,1292,1070.42925507469,1531,1200.5,1473,1197.5,72.9675975179543
"2099/2100",2100,120,120,100,1668.14486811659,1263.5,1005.60946260614,1580.5,1132.5,1541,1128.5,72.6297239907071
"2100/2101",2101,120,120,100,1595.72830810864,1297,1118.53098129274,1460.5,1235,1385,1235,69.7978353235176
