"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,1624.27326197638,1378.5,1190.97769764975,1504,1336,1381,1335.5,70.9593003000472
"2002/2003",2003,120,120,100,1266.28569678089,936,712.350914396424,1171,807.5,1237,807.5,63.9386162960235
"2003/2004",2004,120,120,100,1681.78926717316,1292.5,1029.82674487232,1591.5,1173.5,1613,1173.5,74.0461642010383
"2004/2005",2005,121,121,100,1752.12569342348,1444,1249.81698741461,1641.5,1374,1499,1369,78.9516915607733
"2005/2006",2006,120,120,100,1602.56988228105,1243,1060.99747530847,1479,1180,1462,1180,71.0759940424136
"2006/2007",2007,120,120,100,1537.17806421079,1200.5,1030.02353970875,1426.5,1121.5,1352,1121.5,70.7344601747681
"2007/2008",2008,120,120,100,1203.91165571046,808.5,631.121988962768,1079.5,709.5,1115,709.5,58.2188441947396
"2008/2009",2009,121,121,100,1700.17865555103,1391,1180.27502085176,1603,1294.5,1540,1292,76.0397576227399
"2009/2010",2010,120,120,100,1648.07437077203,1253.5,989.809538766194,1535,1126,1523,1126,71.705412169177
"2010/2011",2011,120,120,100,1666.78178808629,1266,1023.91770174,1557,1170,1592,1170,70.0224580856084
"2011/2012",2012,120,120,100,1250.61654401945,995.5,828.80142634127,1157,921,1091,919.5,63.8074810778633
"2012/2013",2013,121,121,100,1581.78484399323,1175.5,956.47973598239,1463,1073,1480,1071.5,72.1381585148204
"2013/2014",2014,120,120,100,1162.54703642394,912.5,808.378923025102,1050.5,877,1008,877,61.2227401481632
"2014/2015",2015,120,120,100,1558.00322436103,1191.5,994.931166322473,1452,1117.5,1384,1113.5,70.6174872341876
"2015/2016",2016,120,120,100,1407.2963905007,1053,931.451408151595,1281.5,991.5,1158,991.5,68.0322357102878
"2016/2017",2017,121,121,100,1512.25114033531,1210,1017.22345757103,1391,1122.5,1278,1121,71.9404699987986
"2017/2018",2018,120,120,100,1259.35198055395,963,810.93150390068,1157,909,1079,909,60.5978648958471
"2018/2019",2019,120,120,100,1401.3714185654,1092,885.486611532553,1299.5,999.5,1248,998,63.4694267984423
"2019/2020",2020,120,120,100,1740.18215206611,1432,1203.77608353294,1628.5,1352.5,1502,1348,76.0820738875864
"2020/2021",2021,121,121,100,1286.05660250505,929.5,754.60886683092,1173.5,831.5,1189,831.5,64.4530968026875
"2021/2022",2022,120,120,100,1201.82092931938,897.5,787.768324305929,1088.5,857,963,837.5,63.5991444109982
"2022/2023",2023,120,120,100,1516.18940356326,1138,945.646678222853,1393.5,1059,1325,1059,63.2701342836535
"2023/2024",2024,120,120,100,1793.81818690845,1444.5,1239.2198395416,1670,1368,1555,1366.5,76.1761416653144
"2024/2025",2025,121,121,100,1589.1975968335,1176,938.204980036629,1461.5,1059.5,1467,1059.5,71.5156654094321
"2025/2026",2026,120,120,100,913.599494575712,640,552.125144706308,829,609.5,757,609.5,50.7269109873132
"2026/2027",2027,120,120,100,1721.78343144721,1377.5,1155.99841699893,1602.5,1288.5,1525,1288.5,73.7018682883518
"2027/2028",2028,120,120,100,1118.73920472084,738,566.996117410326,1018,631.5,1058,631.5,51.4952755184136
"2028/2029",2029,121,121,100,1414.59807272239,1089.5,943.736444658589,1310.5,1016,1186,1016,69.4977640591114
"2029/2030",2030,120,120,100,1411.98988865712,1108,946.316850668114,1316.5,1050,1257,1048.5,69.6698624320788
"2030/2031",2031,120,120,100,1530.33534399854,1167,944.680102456106,1428,1055,1423,1055,73.7497845453427
"2031/2032",2032,120,120,100,1741.33658082913,1380.5,1192.16934427789,1596,1308.5,1568,1308.5,76.543282551328
"2032/2033",2033,121,121,100,1233.33064415227,885.5,715.769742595156,1131,804.5,1119,804.5,61.0013497063155
"2033/2034",2034,120,120,100,1231.17036673042,941.5,794.200366105077,1124.5,889,1007,884,62.3927166474523
"2034/2035",2035,120,120,100,1291.44253477527,997,847.403523829023,1171,925.5,1094,917,60.7570628660505
"2035/2036",2036,120,120,100,1552.30579187532,1224,1022.60749956901,1446,1154.5,1432,1154.5,70.039581299171
"2036/2037",2037,121,121,100,1231.43426513819,910,728.040551491227,1132.5,816.5,1136,816,61.1424633261777
"2037/2038",2038,120,120,100,1493.40015232614,1133.5,994.770896914495,1359.5,1084,1281,1083.5,67.6722970641522
"2038/2039",2039,120,120,100,1951.32406671792,1632,1384.04675772307,1818.5,1542,1764,1542,76.8102479049567
"2039/2040",2040,120,120,100,1554.78590068658,1149,971.651751923389,1427,1081.5,1345,1077.5,72.8348857922228
"2040/2041",2041,121,121,100,1650.2509261712,1250,1044.70556106244,1542.5,1164,1482,1164,71.5030877864374
