"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,1549.42504825161,1306.5,1177.60682532218,1426,1294,1311,1292.5,68.0290198436852
"2002/2003",2003,120,120,100,1254.49854646529,935,711.947509544671,1159.5,823,1212,823,61.9943282473182
"2003/2004",2004,120,120,100,1622.17022780386,1274,1007.24245225907,1518,1147,1504,1147,73.5617033315987
"2004/2005",2005,121,121,100,1714.49124866359,1433.5,1243.4131856641,1608,1376.5,1470,1372.5,77.4070083644818
"2005/2006",2006,120,120,100,1560.35511440856,1253,1068.565150751,1436,1162.5,1371,1162.5,69.6077713347304
"2006/2007",2007,120,120,100,1445.95861882261,1133.5,996.406832951277,1316,1072.5,1224,1072.5,69.2706364529184
"2007/2008",2008,120,120,100,1155.17384907532,805,633.661449727148,1037.5,717,1045,717,55.2697167682265
"2008/2009",2009,121,121,100,1687.60418537895,1383,1164.26801143861,1576.5,1269,1525,1263.5,73.5076958617135
"2009/2010",2010,120,120,100,1597.08263085302,1206,970.612760908429,1481.5,1088.5,1509,1088.5,68.8433365340497
"2010/2011",2011,120,120,100,1626.19117314972,1267,1030.19699119232,1512.5,1168.5,1545,1168.5,69.0752953315186
"2011/2012",2012,120,120,100,1225.11193017466,980,810.68643894341,1132.5,898,1086,895.5,63.7569623072577
"2012/2013",2013,121,121,100,1523.28409791167,1168,954.983822227101,1404.5,1084,1352,1082.5,69.4114585992725
"2013/2014",2014,120,120,100,1119.76743445088,909,816.172845548765,1022.5,880.5,920,880.5,59.7396068056396
"2014/2015",2015,120,120,100,1464.81559951098,1118,947.825513334985,1361,1047.5,1251,1040.5,69.1806700173806
"2015/2016",2016,120,120,100,1339.41927991994,991,897.02095782938,1199,944.5,1076,944.5,64.3375807584225
"2016/2017",2017,121,121,100,1441.48208345276,1136.5,966.144512261577,1313.5,1061,1212,1056.5,68.5347274948067
"2017/2018",2018,120,120,100,1171.2543035349,900,789.386025529668,1064.5,849,987,849,59.1980176152711
"2018/2019",2019,120,120,100,1331.4771269243,1015,870.828593911556,1221,967,1167,965.5,62.2149178971331
"2019/2020",2020,120,120,100,1674.24132518512,1352.5,1139.62679496653,1553.5,1264,1507,1255,73.6880300705188
"2020/2021",2021,121,121,100,1267.56488865707,947.5,766.964890491057,1170,853.5,1159,853.5,63.6974125581328
"2021/2022",2022,120,120,100,1114.27008886322,884,759.493676573751,1013,834,859,808,57.0406845535294
"2022/2023",2023,120,120,100,1428.99404890892,1102,957.502350996896,1300,1045,1224,1045,61.8990262234561
"2023/2024",2024,120,120,100,1705.62128208885,1382.5,1213.99091440202,1589.5,1308,1442,1308,74.5908558112178
"2024/2025",2025,121,121,100,1582.64946257748,1158,922.138267884849,1466,1048.5,1474,1048.5,71.6806012212137
"2025/2026",2026,120,120,100,865.784846671042,587,500.839252335376,777,542,702,542,50.1096995065977
"2026/2027",2027,120,120,100,1655.5975373,1309,1133.17861064766,1526.5,1244.5,1458,1244.5,74.0175374106016
"2027/2028",2028,120,120,100,1133.17464875516,796.5,606.95612166814,1039.5,698,1064,698,52.1420871990372
"2028/2029",2029,121,121,100,1324.79885787448,1035,905.187716429602,1232,967,1114,967,67.3871356387644
"2029/2030",2030,120,120,100,1364.79032335202,1059.5,939.151162505819,1259.5,1017.5,1158,1017.5,68.0709888723659
"2030/2031",2031,120,120,100,1516.63087840544,1195.5,962.004583507056,1416.5,1091,1367,1091,70.8833452085155
"2031/2032",2032,120,120,100,1671.80274960579,1326,1148.04576042085,1556,1254.5,1495,1254.5,74.7251950124937
"2032/2033",2033,121,121,100,1196.34390793914,878,712.433819878257,1102.5,809,1029,809,59.6228251516686
"2033/2034",2034,120,120,100,1135.35761209995,883.5,774.664998638575,1030,850,901,842,59.6724350512504
"2034/2035",2035,120,120,100,1233.87057546423,964,855.15206708599,1133,911.5,1037,903,57.9316997033948
"2035/2036",2036,120,120,100,1487.6195988965,1177,993.097029329256,1381,1103.5,1334,1103,67.6519816828086
"2036/2037",2037,121,121,100,1194.13656044497,913.5,739.749721329463,1094,826.5,1079,825,59.9507934901831
"2037/2038",2038,120,120,100,1405.36218624403,1076.5,972.401509235075,1275.5,1051,1126,1051,64.3863609786222
"2038/2039",2039,120,120,100,1900.38551313254,1596.5,1370.16566952383,1791,1525.5,1702,1525.5,75.5852962283925
"2039/2040",2040,120,120,100,1435.25080619723,1054.5,927.991853986459,1307.5,993.5,1211,987.5,68.706636133853
"2040/2041",2041,121,121,100,1561.21383900795,1179,1004.33160912902,1455.5,1097.5,1405,1097.5,69.7295586962773
"2041/2042",2042,120,120,100,1761.68026982259,1521.5,1316.49777981156,1660.5,1458,1540,1458,74.0694204322126
"2042/2043",2043,120,120,100,1150.58217436439,867,712.610174924899,1046.5,803.5,1017,803.5,61.486621811674
"2043/2044",2044,120,120,100,1622.07977057496,1310,1081.56464010687,1516.5,1238.5,1444,1234.5,68.8544968885881
"2044/2045",2045,121,121,100,1209.47454604178,925,752.264476032091,1117,849.5,1097,849.5,55.7479989241747
"2045/2046",2046,120,120,100,1263.99005865544,983,849.182426816624,1132.5,933,1062,913,61.1579671919608
"2046/2047",2047,120,120,100,1411.05067895161,1109,925.683713750652,1303,1039.5,1234,1039.5,67.1741489308597
"2047/2048",2048,120,120,100,1344.4291810079,997.5,825.041893174901,1241,928.5,1193,928.5,61.090123373664
"2048/2049",2049,121,121,100,1333.53014694471,1019.5,816.777202092089,1244.5,906.5,1269,906.5,62.875117898112
"2049/2050",2050,120,120,100,1064.68591972545,696,543.241617336105,951.5,613.5,945,613.5,58.5638323827861
"2050/2051",2051,120,120,100,1199.05202211405,922.5,818.71272943978,1095.5,867,949,867,61.5523676294961
"2051/2052",2052,120,120,100,1589.74616078986,1301,1087.51525115868,1507,1204,1396,1199,72.2423143566002
"2052/2053",2053,121,121,100,1544.38677731698,1250.5,1073.15805143739,1418.5,1191.5,1301,1191.5,70.0581113485914
"2053/2054",2054,120,120,100,1541.1031486346,1240,1081.4710423863,1429,1179.5,1275,1177,71.3005791006772
"2054/2055",2055,120,120,100,1398.80957711613,1134.5,947.405140389339,1278.5,1050,1225,1050,65.2950243559662
"2055/2056",2056,120,120,100,1175.67467609906,830,669.708981654985,1053,771.5,1013,725.5,60.5996658113436
"2056/2057",2057,121,121,100,1391.32337679184,1104.5,891.58002095281,1295.5,1014.5,1293,1014.5,62.026853344325
"2057/2058",2058,120,120,100,1525.83084134091,1172.5,1006.6406451732,1403.5,1110,1307,1110,69.494003117481
"2058/2059",2059,120,120,100,1157.66963462334,864.5,729.45276693684,1049.5,807,1013,807,57.9081392526114
"2059/2060",2060,120,120,100,1509.6619965776,1264.5,1118.87028800309,1395,1203,1269,1198.5,66.8171209474622
"2060/2061",2061,121,121,100,1528.08555928446,1227,1080.04532305765,1416,1157,1272,1153.5,72.4352877786023
"2061/2062",2062,120,120,100,1096.84288046445,751,603.673863224016,1022,669,984,669,57.6171765092477
"2062/2063",2063,120,120,100,1284.08883099354,893,715.187812016738,1176.5,805,1188,800,61.4354425298388
"2063/2064",2064,120,120,100,1236.90409528991,976.5,861.253141584923,1119.5,932,1040,932,63.9503251104816
"2064/2065",2065,121,121,100,1535.84011339088,1127.5,912.857175991478,1418.5,1027,1406,1027,69.1469071169104
"2065/2066",2066,120,120,100,1659.26078914397,1287.5,1026.22605310012,1541.5,1155.5,1534,1155.5,70.8537892122313
"2066/2067",2067,120,120,100,1217.81508335384,863,693.880733438156,1130,771.5,1117,771.5,56.2609659555255
"2067/2068",2068,120,120,100,1807.20341730633,1559.5,1338.38186286269,1692.5,1480.5,1582,1480.5,74.0207080470409
"2068/2069",2069,121,121,100,1395.79606911974,1038.5,904.507355093141,1267.5,971.5,1213,971.5,68.6713271694171
"2069/2070",2070,120,120,100,1542.19277931534,1260.5,1084.82004491436,1444.5,1201,1361,1201,69.3350573077387
"2070/2071",2071,120,120,100,1351.0550469094,1069.5,915.825812127441,1227.5,1002,1122,999.5,67.0957627667904
"2071/2072",2072,120,120,100,1349.96633653794,1084,897.2249803913,1259.5,1005,1220,1005,63.0839737445294
"2072/2073",2073,121,121,100,1815.74677034435,1569,1339.61290859085,1705,1473,1579,1471.5,77.0195122498699
"2073/2074",2074,120,120,100,1172.59089249291,916,772.166307666383,1072,849,992,830,60.6431277940355
"2074/2075",2075,120,120,100,1556.86556248885,1294,1109.70440328294,1462.5,1233.5,1360,1224.5,72.4908599084683
"2075/2076",2076,120,120,100,1786.22459485591,1445.5,1233.31740895221,1662.5,1372,1589,1371.5,77.0167413949657
"2076/2077",2077,121,121,100,1230.5023264731,877.5,696.120376984822,1127,789.5,1099,789.5,63.0331218606862
"2077/2078",2078,120,120,100,1209.56668788701,866.5,700.324250685051,1108,792,1081,792,59.3212554591701
"2078/2079",2079,120,120,100,1482.60340603441,1088.5,889.320512571299,1334,987.5,1360,983.5,65.1069034162665
"2079/2080",2080,120,120,100,1688.74549853202,1321.5,1114.11570690415,1565,1255.5,1510,1255.5,73.1408600762115
"2080/2081",2081,121,121,100,1430.19607355184,1260,1104.32854332011,1347.5,1208,1261,1208,54.9642395596784
"2081/2082",2082,120,120,100,1408.19479576556,1102,942.2913036838,1286.5,1030.5,1179,1026,61.0246620676135
"2082/2083",2083,120,120,100,1533.94049825147,1274,1051.0027685151,1442.5,1184.5,1397,1177.5,69.5957181626018
"2083/2084",2084,120,120,100,1437.64611349953,1061.5,850.215836323798,1326.5,969.5,1306,969.5,69.7038501996631
"2084/2085",2085,121,121,100,1356.86713419424,1054.5,839.502138509924,1255,967.5,1207,961,59.7032157293615
"2085/2086",2086,120,120,100,1327.93781531363,1058.5,945.657581029256,1220,1008,1122,1008,61.3346882958886
