"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1451,1383.5,78.0289277146907,1726.68417975984
"2002/2003",2003,120,120,100,1520,1312,73.4876801546345,1404.06807107609
"2003/2004",2004,120,120,100,1352,1024,69.4092208461836,650.845419300284
"2004/2005",2005,121,121,100,1580,1193,76.4723441171725,1138.06408729721
"2005/2006",2006,120,120,100,1720,1504.5,82.2998015380686,1368.52449099848
"2006/2007",2007,120,120,100,1557,1261.5,75.9898686137864,1510.37162720494
"2007/2008",2008,120,120,100,1120,871,63.5304140310753,828.0428144568
"2008/2009",2009,121,121,100,1488,1158.5,69.3543301451791,1191.89934932895
"2009/2010",2010,120,120,100,1614,1272,72.3009688106479,910.674245783302
"2010/2011",2011,120,120,100,1507,1160,69.5839136723043,785.490935772541
"2011/2012",2012,120,120,100,1384,990,71.2763790071911,907.684624467976
"2012/2013",2013,121,121,100,1416,1180,73.7118086800533,1120.42462418752
"2013/2014",2014,120,120,100,1273,977.5,66.4280148048722,854.512987863622
"2014/2015",2015,120,120,100,803,756.5,58.2354718064296,2029.19095283921
"2015/2016",2016,120,120,100,1525,1207.5,75.2865937321394,1069.73624320654
"2016/2017",2017,121,121,100,1224,1091.5,71.8675342277497,2165.04884078959
"2017/2018",2018,120,120,100,1213,1074,66.4487535567109,1657.20775988814
"2018/2019",2019,120,120,100,999,764,56.8756759777248,1016.13873018511
"2019/2020",2020,120,120,100,1345,1229,75.4901434131657,1621.66919596714
"2020/2021",2021,121,121,100,1594,1378,79.3392294586147,1950.29953908827
"2021/2022",2022,120,120,100,928,808,53.0116484297441,961.632655626396
"2022/2023",2023,120,120,100,1062,982,66.4679214601197,1537.0421139563
"2023/2024",2024,120,120,100,1587,1413,76.9998702131729,1430.30600107624
"2024/2025",2025,121,121,100,1594,1362.5,76.6849446517781,1012.2974503946
"2025/2026",2026,120,120,100,1350,1150.5,72.3470243644315,1361.85462093842
"2026/2027",2027,120,120,100,1074,799.5,62.8395580043125,515.332241149852
"2027/2028",2028,120,120,100,1382,1065.5,68.2429703533035,965.79772038525
"2028/2029",2029,121,121,100,1335,1023.5,72.7513886199886,925.353660049848
"2029/2030",2030,120,120,100,1273,1022.5,71.0810484970461,879.598761188798
"2030/2031",2031,120,120,100,1476,1350,78.9039998849403,1518.45750254137
"2031/2032",2032,120,120,100,1305,1041.5,71.0625002946072,1409.45635283971
"2032/2033",2033,121,121,100,1488,1099.5,68.7709214770348,1045.80408762582
"2033/2034",2034,120,120,100,1282,969.5,69.4401744270754,773.279916152125
"2034/2035",2035,120,120,100,959,834.5,58.3431922784985,845.055822833674
"2035/2036",2036,120,120,100,1197,1018.5,66.2930656918361,1444.12296132464
"2036/2037",2037,121,121,100,1544,1344.5,76.8641221496318,1073.98228841973
"2037/2038",2038,120,120,100,1062,671,65.9360675459529,583.536478681024
"2038/2039",2039,120,120,100,1477,1272.5,74.3871363170965,1508.43076163856
