"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1324,1361.5,77.6468792363394,2530.67161979704
"2002/2003",2003,120,120,100,1383,1382,74.1476046746029,2094.07402751257
"2003/2004",2004,120,120,100,1427,1141,70.1103928410346,832.282756552682
"2004/2005",2005,121,121,100,1606,1300.5,78.1427580581333,1579.153192825
"2005/2006",2006,120,120,100,1668,1585.5,82.8280299826607,1947.85032998258
"2006/2007",2007,120,120,100,1466,1375.5,76.9154594880661,2163.80523831456
"2007/2008",2008,120,120,100,1055,905,65.6707973061973,1445.73145087354
"2008/2009",2009,121,121,100,1403,1172.5,69.9403425275734,1830.27376233035
"2009/2010",2010,120,120,100,1681,1411.5,74.051528301346,1345.19127165433
"2010/2011",2011,120,120,100,1530,1254,69.9705937335468,1291.61265393917
"2011/2012",2012,120,120,100,1382,1118.5,71.9059998741873,1360.44383168081
"2012/2013",2013,121,121,100,1323,1226.5,74.1641183953402,1793.19971248135
"2013/2014",2014,120,120,100,1306,1164,68.8771680035825,1127.23374232231
"2014/2015",2015,120,120,100,830,767.5,57.3646627178782,2983.50127786119
"2015/2016",2016,120,120,100,1481,1290.5,76.4657289637298,1674.06482543086
"2016/2017",2017,121,121,100,1183,1124.5,71.274172412287,3020.79282704531
"2017/2018",2018,120,120,100,1142,1034,65.9631298614408,2450.00747767673
"2018/2019",2019,120,120,100,933,812.5,55.2610685489485,1688.46083652147
"2019/2020",2020,120,120,100,1240,1233,74.8828809695347,2308.79075221089
"2020/2021",2021,121,121,100,1502,1436.5,80.787275915276,2508.07634701114
"2021/2022",2022,120,120,100,919,889,54.7368943932706,1579.19371094974
"2022/2023",2023,120,120,100,923,968.5,66.5064186897412,2484.24741966347
"2023/2024",2024,120,120,100,1472,1438,76.4553556038422,2253.68557339651
"2024/2025",2025,121,121,100,1521,1434,80.1087893476715,1486.38182651647
"2025/2026",2026,120,120,100,1446,1212,75.0942308674371,1618.63325200742
"2026/2027",2027,120,120,100,1115,888,67.6947310701521,652.687378242845
"2027/2028",2028,120,120,100,1336,1201.5,69.1264054637336,1444.85458550951
"2028/2029",2029,121,121,100,1272,1080.5,73.294130414683,1576.41120558768
"2029/2030",2030,120,120,100,1282,1108.5,73.4968308062626,1528.65285227331
"2030/2031",2031,120,120,100,1385,1415,80.8253288352726,2047.72580771334
"2031/2032",2032,120,120,100,1313,1178.5,72.5266780300753,1889.31381440302
"2032/2033",2033,121,121,100,1468,1226,69.2363217206994,1541.24960744102
"2033/2034",2034,120,120,100,1315,1055,70.5302858894938,1290.98623826192
"2034/2035",2035,120,120,100,928,874.5,59.8374391073121,1535.94970027613
"2035/2036",2036,120,120,100,1210,1080,69.7267788000536,2030.54694585106
"2036/2037",2037,121,121,100,1435,1387,77.6168890992649,1770.63607423636
"2037/2038",2038,120,120,100,1114,836.5,66.2021920808593,950.796302045928
"2038/2039",2039,120,120,100,1364,1257.5,75.4061125967282,2418.07052226178
"2039/2040",2040,120,120,100,1624,1629,80.7188415372921,2713.67592758359
"2040/2041",2041,121,121,100,1443,1305.5,76.1463420603577,1799.43359219469
"2041/2042",2042,120,120,100,1503,1099.5,69.560559297699,979.584218116477
"2042/2043",2043,120,120,100,1429,1560.5,79.5050158852519,3881.99504888058
"2043/2044",2044,120,120,100,1263,963,67.2199462558538,968.796515795868
"2044/2045",2045,121,121,100,1457,1228.5,71.3400091748772,1765.14542200463
"2045/2046",2046,120,120,100,1032,1015,66.0684602558258,1985.13592927391
"2046/2047",2047,120,120,100,1121,921,61.8363204294074,1637.26421770221
"2047/2048",2048,120,120,100,1375,1158,69.2313518930832,1492.06060803309
"2048/2049",2049,121,121,100,1505,1230.5,76.8584261209726,1212.90675827023
"2049/2050",2050,120,120,100,1147,970,65.5836988433939,978.123842380941
"2050/2051",2051,120,120,100,1085,751,63.62998447063,825.825175985694
"2051/2052",2052,120,120,100,1191,1015.5,70.5281593307618,1935.34471639479
"2052/2053",2053,121,121,100,1196,1210.5,71.9311297614522,2466.25255851867
"2053/2054",2054,120,120,100,1430,1422,78.8632186686254,1994.39080482116
"2054/2055",2055,120,120,100,1346,1222,75.9741465664438,2555.17598326504
"2055/2056",2056,120,120,100,1187,1103,68.2086858318671,2087.60847304622
"2056/2057",2057,121,121,100,1169,920.5,68.6202238602,2794.44731763192
"2057/2058",2058,120,120,100,1183,1192.5,65.3615091391148,1622.66992744664
"2058/2059",2059,120,120,100,1506,1415.5,79.8027799018,1984.40520929918
"2059/2060",2060,120,120,100,986,885,54.9497717485301,1716.66581488168
"2060/2061",2061,121,121,100,1381,1399.5,76.7290447911182,2278.81897649821
"2061/2062",2062,120,120,100,928,883.5,56.023666240284,3892.7088261419
"2062/2063",2063,120,120,100,1128,896.5,64.5313025806645,1283.60066276509
"2063/2064",2064,120,120,100,1311,1052,67.1639198367848,635.237345246132
"2064/2065",2065,121,121,100,1217,1137.5,71.4539416949119,1864.78120985674
"2065/2066",2066,120,120,100,1549,1290,77.6121029641763,1565.04599151481
"2066/2067",2067,120,120,100,1394,1231,73.4443358684966,1634.18350200215
"2067/2068",2068,120,120,100,1354,996.5,68.8843359615639,796.754030750599
"2068/2069",2069,121,121,100,1566,1577,79.3082262965199,2376.77924297657
"2069/2070",2070,120,120,100,1162,1005.5,68.3720911343771,2515.73795110686
"2070/2071",2071,120,120,100,1359,1236.5,71.0748037763915,1698.61502711941
"2071/2072",2072,120,120,100,1336,1171.5,70.2754682408522,1426.72147129616
"2072/2073",2073,121,121,100,1234,1241,75.5495586192064,2756.11747407867
"2073/2074",2074,120,120,100,1524,1442.5,77.076836113536,2102.50359349232
