"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1446,1348.5,76.9213456132075,1373.92743391354
"2002/2003",2003,120,120,100,1513,1271.5,69.9922398312219,1084.48651074246
"2003/2004",2004,120,120,100,1326,928.5,68.3774299023087,437.346604231454
"2004/2005",2005,121,121,100,1565,1123.5,75.0837307854366,899.678495510248
"2005/2006",2006,120,120,100,1688,1438.5,79.6200339948366,1183.3366414562
"2006/2007",2007,120,120,100,1519,1247,74.0296531992115,1228.89867704583
"2007/2008",2008,120,120,100,1054,814,60.3661993666008,652.688213637215
"2008/2009",2009,121,121,100,1435,1081,67.1047558307432,940.183092551422
"2009/2010",2010,120,120,100,1596,1209,71.2614957973813,698.134444352763
"2010/2011",2011,120,120,100,1443,1086.5,64.9241959411356,690.245237117924
"2011/2012",2012,120,120,100,1302,916,68.3442467819173,701.273150784895
"2012/2013",2013,121,121,100,1375,1112,70.8337213723921,871.580958174192
"2013/2014",2014,120,120,100,1263,944.5,65.4756525482169,693.602433561464
"2014/2015",2015,120,120,100,813,749.5,55.1283985973896,1711.31137815583
"2015/2016",2016,120,120,100,1481,1118.5,71.5661732035123,808.119512438541
"2016/2017",2017,121,121,100,1188,1069.5,69.7092844386589,1860.72171414702
"2017/2018",2018,120,120,100,1177,1013,64.1332684676863,1362.33563848585
"2018/2019",2019,120,120,100,939,709.5,53.4438823760588,833.442758503254
"2019/2020",2020,120,120,100,1341,1212.5,74.1033270591861,1306.13200103235
"2020/2021",2021,121,121,100,1571,1327,79.193211522243,1602.9410930369
"2021/2022",2022,120,120,100,891,793,50.1407096654098,782.566450319486
"2022/2023",2023,120,120,100,1060,953,65.0539998951526,1287.32069850829
"2023/2024",2024,120,120,100,1629,1379,74.4343776090359,1105.88247760711
"2024/2025",2025,121,121,100,1604,1302.5,74.7889821787389,741.367168322206
"2025/2026",2026,120,120,100,1308,1104,70.7442352775556,1048.36717844172
"2026/2027",2027,120,120,100,1017,741,60.3490260674148,347.522153885802
"2027/2028",2028,120,120,100,1396,986,67.1794206998206,785.861640887801
"2028/2029",2029,121,121,100,1265,926.5,70.1057787355685,774.686699027196
"2029/2030",2030,120,120,100,1217,976.5,67.3019726670718,698.531195852673
