"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.09,2.88,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
1.79,2.38,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.25,2.45,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.22,2.51,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.3,2.48,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.48,4.9,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.36,5.76,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.18,5.47,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.55,3.57,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
1.92,2.78,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
1.38,2.05,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.02,3.02,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
