"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.87,2.78,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.65,1.43,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.04,0.77,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.64,1.28,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.6,1,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.24,-0.42,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.16,0.06,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.56,1.69,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.06,1.02,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.64,1.9,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.78,1.89,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.08,2,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
