"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.68,3.64,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
5.12,5,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.95,3.65,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.67,3.24,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.72,3.46,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
4.82,4.93,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
5.19,4.79,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
5.1,4.55,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
5.81,5.88,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.68,3.69,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.52,3.67,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.46,3.53,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
