DATE,Year,Month,Day,Tmin,Tmax,Tmean,Prec
1990-01-01T12:00:00Z,1990,1,1,-2.000000000000001,-0.6111111111111119,-1.1111111111111112,0
1990-01-02T12:00:00Z,1990,1,2,-2.1111111111111116,-1.2777777777777781,-1.722222222222223,0
1990-01-03T12:00:00Z,1990,1,3,-2.6111111111111107,-0.777777777777777,-1.7777777777777772,0
1990-01-04T12:00:00Z,1990,1,4,-5.277777777777778,-0.777777777777777,-2.4444444444444438,0
1990-01-05T12:00:00Z,1990,1,5,-7.722222222222221,-0.3888888888888885,-2.3888888888888893,0
1990-01-06T12:00:00Z,1990,1,6,-7.000000000000001,0,-4.777777777777779,0
1990-01-07T12:00:00Z,1990,1,7,-11.61111111111111,-2.7222222222222214,-7.333333333333333,0
1990-01-08T12:00:00Z,1990,1,8,-10.499999999999998,1.1111111111111112,-4.555555555555555,0
1990-01-09T12:00:00Z,1990,1,9,-1.7777777777777772,2.1111111111111094,0.8333333333333333,0
1990-01-10T12:00:00Z,1990,1,10,1.5000000000000016,3.2777777777777772,2.7222222222222214,0.254
1990-01-11T12:00:00Z,1990,1,11,1.6111111111111103,3.722222222222224,2.944444444444443,0
1990-01-12T12:00:00Z,1990,1,12,2.88888888888889,4.722222222222222,3.8333333333333326,2.032
1990-01-13T12:00:00Z,1990,1,13,0,5.388888888888891,1.6111111111111103,0
1990-01-14T12:00:00Z,1990,1,14,-1.0000000000000004,2.000000000000001,1.3333333333333326,0.508
1990-01-15T12:00:00Z,1990,1,15,0.11111111111111269,3.777777777777776,1.8333333333333317,0
1990-01-16T12:00:00Z,1990,1,16,2.7222222222222214,10.777777777777777,7.888888888888891,0.254
1990-01-17T12:00:00Z,1990,1,17,6.8888888888888875,10.61111111111111,8.499999999999998,0.254
1990-01-18T12:00:00Z,1990,1,18,3.4999999999999987,6.61111111111111,4.500000000000001,0
1990-01-19T12:00:00Z,1990,1,19,1.1111111111111112,13.11111111111111,4.500000000000001,0.508
1990-01-20T12:00:00Z,1990,1,20,2.611111111111113,5.88888888888889,4.2777777777777795,0.508
1990-01-21T12:00:00Z,1990,1,21,2.3888888888888875,8.38888888888889,5.555555555555555,0
1990-01-22T12:00:00Z,1990,1,22,5,9.388888888888888,7.444444444444444,3.0479999999999996
1990-01-23T12:00:00Z,1990,1,23,3.2222222222222205,9.222222222222223,6.166666666666667,0
1990-01-24T12:00:00Z,1990,1,24,5,6.722222222222223,5.555555555555555,NA
1990-01-25T12:00:00Z,1990,1,25,0.777777777777777,6.7777777777777795,4.500000000000001,0.508
1990-01-26T12:00:00Z,1990,1,26,4.388888888888888,9.611111111111109,7.055555555555557,3.0479999999999996
1990-01-27T12:00:00Z,1990,1,27,2.2222222222222223,9.000000000000002,4.166666666666667,1.016
1990-01-28T12:00:00Z,1990,1,28,0.11111111111111269,6.222222222222223,3.777777777777776,0
1990-01-29T12:00:00Z,1990,1,29,0.4999999999999992,8.499999999999998,4.2777777777777795,1.016
1990-01-30T12:00:00Z,1990,1,30,-1.4999999999999996,8.499999999999998,3.055555555555556,0
1990-01-31T12:00:00Z,1990,1,31,0,18.000000000000004,5.999999999999998,0
1990-02-01T12:00:00Z,1990,2,1,0.777777777777777,10,5.388888888888891,0
1990-02-02T12:00:00Z,1990,2,2,0,9.5,4.944444444444444,0.254
1990-02-03T12:00:00Z,1990,2,3,0.7222222222222207,8.61111111111111,5.055555555555556,0
1990-02-04T12:00:00Z,1990,2,4,2.3888888888888875,9.277777777777779,6.722222222222223,0
1990-02-05T12:00:00Z,1990,2,5,0.6111111111111119,11.38888888888889,5,0
1990-02-06T12:00:00Z,1990,2,6,-4.500000000000001,11.500000000000002,3.3888888888888897,0
1990-02-07T12:00:00Z,1990,2,7,-1.4999999999999996,13.61111111111111,6.8888888888888875,0
1990-02-08T12:00:00Z,1990,2,8,7.277777777777779,17.27777777777778,10.944444444444446,2.032
1990-02-09T12:00:00Z,1990,2,9,2.000000000000001,6.7777777777777795,4.666666666666666,1.016
1990-02-10T12:00:00Z,1990,2,10,-0.7222222222222225,8.277777777777777,4.222222222222223,0
1990-02-11T12:00:00Z,1990,2,11,1.1111111111111112,6.277777777777777,3.777777777777776,1.016
1990-02-12T12:00:00Z,1990,2,12,-1.2777777777777781,4.8888888888888875,2.4444444444444438,0
1990-02-13T12:00:00Z,1990,2,13,-1.2777777777777781,3.611111111111111,1.1666666666666674,0
1990-02-14T12:00:00Z,1990,2,14,-2.7777777777777777,3.2777777777777772,1.0555555555555547,6.095999999999999
1990-02-15T12:00:00Z,1990,2,15,-3.722222222222222,0.7222222222222207,-0.944444444444444,3.556
1990-02-16T12:00:00Z,1990,2,16,-4.777777777777779,8.61111111111111,1.722222222222223,3.0479999999999996
1990-02-17T12:00:00Z,1990,2,17,-0.11111111111111072,5.999999999999998,1.888888888888888,4.064
1990-02-18T12:00:00Z,1990,2,18,-1.6111111111111103,10.88888888888889,4.666666666666666,0.254
1990-02-19T12:00:00Z,1990,2,19,4.000000000000002,12.000000000000002,7.833333333333334,2.032
1990-02-20T12:00:00Z,1990,2,20,4.000000000000002,16.277777777777775,10.277777777777777,0
1990-02-21T12:00:00Z,1990,2,21,3.4999999999999987,18.5,9.055555555555554,0
1990-02-22T12:00:00Z,1990,2,22,1.3888888888888888,12.11111111111111,8.111111111111112,0
1990-02-23T12:00:00Z,1990,2,23,-2.2777777777777786,16.11111111111111,4.166666666666667,0
1990-02-24T12:00:00Z,1990,2,24,-1.2777777777777781,16.222222222222225,6.944444444444445,0
