"","date","Tmax","Tmin"
"1","2019-02-02 00:00:00",3.5,0
"2","2019-02-03 00:00:00",4.30000019073486,-0.800000011920929
"3","2019-02-04 00:00:00",4.69999980926514,-1.89999997615814
"4","2019-02-05 00:00:00",6.19999980926514,0.300000011920929
"5","2019-02-06 00:00:00",11.1999998092651,-1.79999995231628
"6","2019-02-07 00:00:00",9.30000019073486,4.30000019073486
"7","2019-02-08 00:00:00",9.5,3.79999995231628
"8","2019-02-09 00:00:00",10.1000003814697,5.90000009536743
"9","2019-02-10 00:00:00",9.5,2.70000004768372
"10","2019-02-11 00:00:00",6.59999990463257,1.20000004768372
"11","2019-02-12 00:00:00",7.19999980926514,-0.200000002980232
"12","2019-02-13 00:00:00",8.60000038146973,-1.10000002384186
"13","2019-02-14 00:00:00",12.6999998092651,-1.20000004768372
"14","2019-02-15 00:00:00",13.5,-1.39999997615814
"15","2019-02-16 00:00:00",14.8999996185303,-0.800000011920929
"16","2019-02-17 00:00:00",17.8999996185303,-0.5
"17","2019-02-18 00:00:00",15.3999996185303,-1.20000004768372
"18","2019-02-19 00:00:00",10.1000003814697,1.39999997615814
"19","2019-02-20 00:00:00",12.3999996185303,0.699999988079071
"20","2019-02-21 00:00:00",13.1000003814697,0.200000002980232
"21","2019-02-22 00:00:00",12.3000001907349,2
"22","2019-02-23 00:00:00",10,-0.400000005960464
"23","2019-02-24 00:00:00",13.5,-1.89999997615814
"24","2019-02-25 00:00:00",16.3999996185303,-0.699999988079071
"25","2019-02-26 00:00:00",17.3999996185303,0.100000001490116
"26","2019-02-27 00:00:00",19.2999992370605,0.699999988079071
"27","2019-02-28 00:00:00",15.8000001907349,0.600000023841858
"28","2019-03-01 00:00:00",9.60000038146973,5
"29","2019-03-02 00:00:00",12.8999996185303,5.40000009536743
"30","2019-03-03 00:00:00",12.8999996185303,7.59999990463257
"31","2019-03-04 00:00:00",12.1000003814697,5.19999980926514
"32","2019-03-05 00:00:00",9.39999961853027,2.79999995231628
"33","2019-03-06 00:00:00",13.3000001907349,6.09999990463257
"34","2019-03-07 00:00:00",11.3999996185303,4.69999980926514
"35","2019-03-08 00:00:00",10.5,5.5
"36","2019-03-09 00:00:00",13,6.5
"37","2019-03-10 00:00:00",13.3999996185303,2.09999990463257
"38","2019-03-11 00:00:00",6.80000019073486,0.200000002980232
"39","2019-03-12 00:00:00",10.1999998092651,0.800000011920929
"40","2019-03-13 00:00:00",9,4.09999990463257
"41","2019-03-14 00:00:00",10.3999996185303,3.70000004768372
"42","2019-03-15 00:00:00",12.3000001907349,6.5
"43","2019-03-16 00:00:00",12.8999996185303,7.59999990463257
"44","2019-03-17 00:00:00",10.1000003814697,2.29999995231628
"45","2019-03-18 00:00:00",8.39999961853027,-0.100000001490116
"46","2019-03-19 00:00:00",11.1999998092651,-1.39999997615814
"47","2019-03-20 00:00:00",14.1000003814697,0.5
"48","2019-03-21 00:00:00",18.1000003814697,2
"49","2019-03-22 00:00:00",24,2
"50","2019-03-23 00:00:00",11.5,4.19999980926514
"51","2019-03-24 00:00:00",12.1999998092651,2.29999995231628
"52","2019-03-25 00:00:00",9.19999980926514,1.20000004768372
"53","2019-03-26 00:00:00",8.80000019073486,4.5
"54","2019-03-27 00:00:00",10.8000001907349,3.20000004768372
"55","2019-03-28 00:00:00",13,3.20000004768372
"56","2019-03-29 00:00:00",19,1.20000004768372
"57","2019-03-30 00:00:00",19.6000003814697,2.20000004768372
"58","2019-03-31 00:00:00",14.1999998092651,4
"59","2019-04-01 00:00:00",18.5,-0.600000023841858
"60","2019-04-02 00:00:00",18.6000003814697,2.29999995231628
"61","2019-04-03 00:00:00",10.3999996185303,5.30000019073486
"62","2019-04-04 00:00:00",8.19999980926514,3.09999990463257
"63","2019-04-05 00:00:00",10,2.40000009536743
"64","2019-04-06 00:00:00",17.6000003814697,6.30000019073486
"65","2019-04-07 00:00:00",21.1000003814697,0
"66","2019-04-08 00:00:00",19.1000003814697,5.90000009536743
"67","2019-04-09 00:00:00",15.3999996185303,9.30000019073486
"68","2019-04-10 00:00:00",13.1999998092651,3.59999990463257
"69","2019-04-11 00:00:00",12.3999996185303,-0.600000023841858
"70","2019-04-12 00:00:00",6.69999980926514,-1.70000004768372
"71","2019-04-13 00:00:00",8,-0.899999976158142
"72","2019-04-14 00:00:00",12,0
"73","2019-04-15 00:00:00",20.1000003814697,-0.899999976158142
"74","2019-04-16 00:00:00",21.8999996185303,0
"75","2019-04-17 00:00:00",21.1000003814697,7.19999980926514
"76","2019-04-18 00:00:00",23.8999996185303,3.40000009536743
"77","2019-04-19 00:00:00",25.6000003814697,3.90000009536743
"78","2019-04-20 00:00:00",26.7999992370605,5.09999990463257
"79","2019-04-21 00:00:00",25.2000007629395,5.59999990463257
"80","2019-04-22 00:00:00",26.5,3.79999995231628
"81","2019-04-23 00:00:00",22.1000003814697,4.59999990463257
"82","2019-04-24 00:00:00",26.3999996185303,7.90000009536743
"83","2019-04-25 00:00:00",22.8999996185303,6.30000019073486
"84","2019-04-26 00:00:00",17.7999992370605,8.39999961853027
"85","2019-04-27 00:00:00",13.8999996185303,5.5
"86","2019-04-28 00:00:00",12,3.29999995231628
"87","2019-04-29 00:00:00",16.6000003814697,1.29999995231628
"88","2019-04-30 00:00:00",18.1000003814697,8.60000038146973
"89","2019-05-01 00:00:00",15.8000001907349,3.79999995231628
"90","2019-05-02 00:00:00",16.7000007629395,4.69999980926514
"91","2019-05-03 00:00:00",12.8000001907349,6.69999980926514
