"Month","Tmin","Tmax","CP"
10,-20,-15,7.60483222365711e-13
10,-20,-14,4.16692401659673e-12
10,-20,-13,2.27014932748182e-11
10,-20,-12,1.22471865019174e-10
10,-20,-11,6.52811236732988e-10
10,-20,-10,3.43387199181474e-09
10,-20,-9,1.78146872220241e-08
10,-20,-8,9.11373166312405e-08
10,-20,-7,4.59800299620333e-07
10,-20,-6,2.28815689326574e-06
10,-20,-5,1.12347212857995e-05
10,-20,-4,5.44393660045757e-05
10,-20,-3,0.000260275140552178
10,-20,-2,0.00122660083697128
10,-20,-1,0.00566652369146301
10,-20,0,0.0250451344936443
10,-20,1,0.0967362052840839
10,-20,2,0.262655993417778
10,-20,3,0.427070919141892
10,-20,4,0.455823647074713
10,-20,5,0.471262279324522
10,-20,6,0.494072652435067
10,-20,7,0.507197369747452
10,-20,8,0.515019313998255
10,-20,9,0.520208188614179
10,-20,10,0.529586482150739
10,-20,11,0.528461939202215
10,-20,12,0.529728580685433
10,-20,13,0.510392909352996
10,-20,14,0.510093313667752
10,-20,15,0.498793851075666
10,-20,16,0.491159762897764
10,-20,17,0.480839750618028
10,-20,18,0.433292452303267
10,-20,19,0.467672369414215
10,-20,20,0.320395548169448
10,-20,21,0.196785454814249
10,-20,22,0.0761142179565529
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,8.36701008815864e-13
10,-19,-14,4.47787804729566e-12
10,-19,-13,2.40270589866597e-11
10,-19,-12,1.2826009160257e-10
10,-19,-11,6.78467939753426e-10
10,-19,-10,3.54887618367672e-09
10,-19,-9,1.83351765375302e-08
10,-19,-8,9.35135747285162e-08
10,-19,-7,4.70732319624965e-07
10,-19,-6,2.33877636754288e-06
10,-19,-5,1.14703844066006e-05
10,-19,-4,5.55263492569353e-05
10,-19,-3,0.000265299948918413
10,-19,-2,0.0012497058753717
10,-19,-1,0.00577153996224127
10,-19,0,0.0255079645330655
10,-19,1,0.0985762835817578
10,-19,2,0.268029672091559
10,-19,3,0.436090149209664
10,-19,4,0.464949960118649
10,-19,5,0.482316266460142
10,-19,6,0.502712303262804
10,-19,7,0.515871114276579
10,-19,8,0.525721873955567
10,-19,9,0.527626332490675
10,-19,10,0.533821052086336
10,-19,11,0.540088644462819
10,-19,12,0.53735789136574
10,-19,13,0.511907613826343
10,-19,14,0.507096258098123
