"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.63,3.77,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.96,4.15,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.78,3.37,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.09,3.6,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
2.43,2.58,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.32,4.12,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
4.59,5.62,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
5.14,6.18,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
4.05,4.45,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
4,4.7,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.95,4.19,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
3.09,3.7,"rcp85",2035,2065,2050,1990,"relative","GFDL-CM3"
